Id,Firstname,Surname,Born,Birth Location,Noble recieved,Motivation,Organization name,Organisation's Location
27,Robert A.,Millikan,1868-03-22,"Morrison IL, USA",1923,"""for his work on the elementary charge of electricity and on the photoelectric effect""",California Institute of Technology (Caltech),"Pasadena CA, USA"
28,Manne,Siegbahn,1886-12-03,"Örebro, Sweden",1924,"""for his discoveries and research in the field of X-ray spectroscopy""",Uppsala University,"Uppsala, Sweden"
29,James,Franck,1882-08-26,"Hamburg, Germany",1925,"""for their discovery of the laws governing the impact of an electron upon an atom""",Goettingen University,"Göttingen, Germany"
30,Gustav,Hertz,1887-07-22,"Hamburg, Germany",1925,"""for their discovery of the laws governing the impact of an electron upon an atom""",Halle University,"Halle, Germany"
31,Jean Baptiste,Perrin,1870-09-30,"Lille, France",1926,"""for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium""",Sorbonne University,"Paris, France"
32,Arthur H.,Compton,1892-09-10,"Wooster OH, USA",1927,"""for his discovery of the effect named after him""",University of Chicago,"Chicago IL, USA"
33,C.T.R.,Wilson,1869-02-14,"Glencorse, Scotland",1927,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",University of Cambridge,"Cambridge, United Kingdom"
34,Owen Willans,Richardson,1879-04-26,"Dewsbury, United Kingdom",1928,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",London University,"London, United Kingdom"
35,Louis,de Broglie,1892-08-15,"Dieppe, France",1929,"""for his discovery of the wave nature of electrons""",Sorbonne University Institut Henri Poincaré,"Paris, France"
36,Sir Chandrasekhara Venkata,Raman,1888-11-07,"Tiruchirappalli, India",1930,"""for his work on the scattering of light and for the discovery of the effect named after him""",Calcutta University,"Calcutta, India"
37,Werner,Heisenberg,1901-12-05,"Würzburg, Germany",1932,"""for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen""",Leipzig University,"Leipzig, Germany"
38,Erwin,Schrödinger,1887-08-12,"Vienna, Austria",1933,"""for the discovery of new productive forms of atomic theory""",Berlin University,"Berlin, Germany"
39,Paul A.M.,Dirac,1902-08-08,"Bristol, United Kingdom",1933,"""for the discovery of new productive forms of atomic theory""",University of Cambridge,"Cambridge, United Kingdom"
40,James,Chadwick,1891-10-20,"Manchester, United Kingdom",1935,"""for the discovery of the neutron""",Liverpool University,"Liverpool, United Kingdom"
41,Victor F.,Hess,1883-06-24,"Peggau, Austria",1936,"""for his discovery of cosmic radiation""",Innsbruck University,"Innsbruck, Austria"
42,Carl D.,Anderson,1905-09-03,"New York NY, USA",1936,"""for his discovery of the positron""",California Institute of Technology (Caltech),"Pasadena CA, USA"
43,Clinton,Davisson,1881-10-22,"Bloomington IL, USA",1937,"""for their experimental discovery of the diffraction of electrons by crystals""",Bell Telephone Laboratories,"New York NY, USA"
44,George Paget,Thomson,1892-05-03,"Cambridge, United Kingdom",1937,"""for their experimental discovery of the diffraction of electrons by crystals""",London University,"London, United Kingdom"
45,Enrico,Fermi,1901-09-29,"Rome, Italy",1938,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons""",Rome University,"Rome, Italy"
46,Ernest,Lawrence,1901-08-08,"Canton SD, USA",1939,"""for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements""",University of California,"Berkeley CA, USA"
47,Otto,Stern,1888-02-17,"Sorau (now Zory), Germany (now Poland)",1943,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",Carnegie Institute of Technology,"Pittsburgh PA, USA"
48,Isidor Isaac,Rabi,1898-07-29,"Rymanow, Austria-Hungary (now Poland)",1944,"""for his resonance method for recording the magnetic properties of atomic nuclei""",Columbia University,"New York NY, USA"
49,Wolfgang,Pauli,1900-04-25,"Vienna, Austria",1945,"""for the discovery of the Exclusion Principle also called the Pauli Principle""",Princeton University,"Princeton NJ, USA"
50,Percy W.,Bridgman,1882-04-21,"Cambridge MA, USA",1946,"""for the invention of an apparatus to produce extremely high pressures and for the discoveries he made therewith in the field of high pressure physics""",Harvard University,"Cambridge MA, USA"
51,Edward V.,Appleton,1892-09-06,"Bradford, United Kingdom",1947,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",Department of Scientific and Industrial Research,"London, United Kingdom"
52,Patrick M.S.,Blackett,1897-11-18,"London, United Kingdom",1948,"""for his development of the Wilson cloud chamber method and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",Victoria University,"Manchester, United Kingdom"
53,Hideki,Yukawa,1907-01-23,"Tokyo, Japan",1949,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",Columbia University,"New York NY, USA"
54,Cecil,Powell,1903-12-05,"Tonbridge, United Kingdom",1950,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",Bristol University,"Bristol, United Kingdom"
55,John,Cockcroft,1897-05-27,"Todmorden, United Kingdom",1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",Atomic Energy Research Establishment,"Harwell Berkshire, United Kingdom"
56,Ernest T.S.,Walton,1903-10-06,"Dungarvan, Ireland",1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",Trinity College,"Dublin, Ireland"
57,Felix,Bloch,1905-10-23,"Zurich, Switzerland",1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",Stanford University,"Stanford CA, USA"
58,E. M.,Purcell,1912-08-30,"Taylorville IL, USA",1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",Harvard University,"Cambridge MA, USA"
59,Frits,Zernike,1888-07-16,"Amsterdam, the Netherlands",1953,"""for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope""",Groningen University,"Groningen, the Netherlands"
60,Max,Born,1882-12-11,"Breslau (now Wroclaw), Germany (now Poland)",1954,"""for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction""",Edinburgh University,"Edinburgh, United Kingdom"
61,Walther,Bothe,1891-01-08,"Oranienburg, Germany",1954,"""for the coincidence method and his discoveries made therewith""",University of Heidelberg,"Heidelberg, Germany"
62,Willis E.,Lamb,1913-07-12,"Los Angeles CA, USA",1955,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",Stanford University,"Stanford CA, USA"
63,Polykarp,Kusch,1911-01-26,"Blankenburg, Germany",1955,"""for his precision determination of the magnetic moment of the electron""",Columbia University,"New York NY, USA"
64,John,Bardeen,1908-05-23,"Madison WI, USA",1956,"""for their researches on semiconductors and their discovery of the transistor effect""",University of Illinois,"Urbana IL, USA"
65,Walter H.,Brattain,1902-02-10,"Amoy, China",1956,"""for their researches on semiconductors and their discovery of the transistor effect""",Bell Telephone Laboratories,"Murray Hill NJ, USA"
66,William B.,Shockley,1910-02-13,"London, United Kingdom",1956,"""for their researches on semiconductors and their discovery of the transistor effect""",Semiconductor Laboratory of Beckman Instruments Inc.,"Mountain View CA, USA"
67,Tsung-Dao,Lee,1926-11-24,"Shanghai, China",1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",Columbia University,"New York NY, USA"
68,Chen Ning,Yang,1922-09-22,"Hofei Anhwei, China",1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",Institute for Advanced Study,"Princeton NJ, USA"
69,Il´ja M.,Frank,1908-10-23,"Leningrad (now St. Petersburg), Russia",1958,"""for the discovery and the interpretation of the Cherenkov effect""",Lomonosov Moscow State University,"Moscow, USSR (now Russia)"
70,Igor Y.,Tamm,1895-07-08,"Vladivostok, Russia",1958,"""for the discovery and the interpretation of the Cherenkov effect""",Lomonosov Moscow State University,"Moscow, USSR (now Russia)"
71,Pavel A.,Cherenkov,1904-07-28,"Novaya Chigla, Russia",1958,"""for the discovery and the interpretation of the Cherenkov effect""",P.N. Lebedev Physical Institute,"Moscow, USSR (now Russia)"
72,Emilio,Segrè,1905-02-01,"Tivoli, Italy",1959,"""for their discovery of the antiproton""",University of California,"Berkeley CA, USA"
73,Owen,Chamberlain,1920-07-10,"San Francisco CA, USA",1959,"""for their discovery of the antiproton""",University of California,"Berkeley CA, USA"
74,Donald A.,Glaser,1926-09-21,"Cleveland OH, USA",1960,"""for the invention of the bubble chamber""",University of California,"Berkeley CA, USA"
75,Rudolf,Mössbauer,1929-01-31,"Munich, Germany",1961,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",Technical University,"Munich, Germany"
76,Robert,Hofstadter,1915-02-05,"New York NY, USA",1961,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",Stanford University,"Stanford CA, USA"
77,Lev,Landau,1908-01-22,"Baku, Russian Empire (now Azerbaijan)",1962,"""for his pioneering theories for condensed matter especially liquid helium""",Academy of Sciences,"Moscow, USSR (now Russia)"
78,J. Hans D.,Jensen,1907-06-25,"Hamburg, Germany",1963,"""for their discoveries concerning nuclear shell structure""",University of Heidelberg,"Heidelberg, Germany"
79,Eugene,Wigner,1902-11-17,"Budapest, Austria-Hungary (now Hungary)",1963,"""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles""",Princeton University,"Princeton NJ, USA"
80,Maria,Goeppert Mayer,1906-06-28,"Kattowitz (now Katowice), Germany (now Poland)",1963,"""for their discoveries concerning nuclear shell structure""",University of California,"San Diego CA, USA"
81,Nicolay G.,Basov,1922-12-14,"Usman, USSR (now Russia)",1964,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",P.N. Lebedev Physical Institute,"Moscow, USSR (now Russia)"
82,Aleksandr M.,Prokhorov,1916-07-11,"Atherton, Australia",1964,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",P.N. Lebedev Physical Institute,"Moscow, USSR (now Russia)"
83,Charles H.,Townes,1915-07-28,"Greenville SC, USA",1964,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",Massachusetts Institute of Technology (MIT),"Cambridge MA, USA"
84,Sin-Itiro,Tomonaga,1906-03-31,"Kyoto, Japan",1965,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",Tokyo University of Education,"Tokyo, Japan"
85,Julian,Schwinger,1918-02-12,"New York NY, USA",1965,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",Harvard University,"Cambridge MA, USA"
86,Richard P.,Feynman,1918-05-11,"New York NY, USA",1965,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",California Institute of Technology (Caltech),"Pasadena CA, USA"
87,Alfred,Kastler,1902-05-03,"Guebwiller, Germany (now France)",1966,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",École Normale Supérieure,"Paris, France"
88,Hans,Bethe,1906-07-02,"Strasbourg, Germany (now France)",1967,"""for his contributions to the theory of nuclear reactions especially his discoveries concerning the energy production in stars""",Cornell University,"Ithaca NY, USA"
89,Luis,Alvarez,1911-06-13,"San Francisco CA, USA",1968,"""for his decisive contributions to elementary particle physics in particular the discovery of a large number of resonance states made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",University of California,"Berkeley CA, USA"
90,Murray,Gell-Mann,1929-09-15,"New York NY, USA",1969,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",California Institute of Technology (Caltech),"Pasadena CA, USA"
91,Hannes,Alfvén,1908-05-30,"Norrköping, Sweden",1970,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",Royal Institute of Technology,"Stockholm, Sweden"
92,Louis,Néel,1904-11-22,"Lyon, France",1970,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",University of Grenoble,"Grenoble, France"
93,Dennis,Gabor,1900-06-05,"Budapest, Hungary",1971,"""for his invention and development of the holographic method""",Imperial College,"London, United Kingdom"
94,Robert,Schrieffer,1931-05-31,"Oak Park IL, USA",1972,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",University of Pennsylvania,"Philadelphia PA, USA"
95,Leon N.,Cooper,1930-02-28,"New York NY, USA",1972,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",Brown University,"Providence RI, USA"
96,John,Bardeen,1908-05-23,"Madison WI, USA",1972,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",University of Illinois,"Urbana IL, USA"
97,Ivar,Giaever,1929-04-05,"Bergen, Norway",1973,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors respectively""",General Electric Company,"Schenectady NY, USA"
98,Brian D.,Josephson,1940-01-04,"Cardiff, United Kingdom",1973,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier in particular those phenomena which are generally known as the Josephson effects""",University of Cambridge,"Cambridge, United Kingdom"
99,Leo,Esaki,1925-03-12,"Osaka, Japan",1973,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors respectively""",IBM Thomas J. Watson Research Center,"Yorktown Heights NY, USA"
100,Antony,Hewish,1924-05-11,"Fowey, United Kingdom",1974,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars""",University of Cambridge,"Cambridge, United Kingdom"
101,Martin,Ryle,1918-09-27,"Brighton, United Kingdom",1974,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars""",University of Cambridge,"Cambridge, United Kingdom"
102,Aage N.,Bohr,1922-06-19,"Copenhagen, Denmark",1975,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",Niels Bohr Institute,"Copenhagen, Denmark"
103,James,Rainwater,1917-12-09,"Council ID, USA",1975,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",Columbia University,"New York NY, USA"
104,Ben R.,Mottelson,1926-07-09,"Chicago IL, USA",1975,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",Nordita,"Copenhagen, Denmark"
105,Burton,Richter,1931-03-22,"Brooklyn NY, USA",1976,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",Stanford Linear Accelerator Center,"Stanford CA, USA"
106,Samuel C.C.,Ting,1936-01-27,"Ann Arbor MI, USA",1976,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",Massachusetts Institute of Technology (MIT),"Cambridge MA, USA"
107,Sir Nevill F.,Mott,1905-09-30,"Leeds, United Kingdom",1977,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",University of Cambridge,"Cambridge, United Kingdom"
108,Philip W.,Anderson,1923-12-13,"Indianapolis IN, USA",1977,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",Bell Telephone Laboratories,"Murray Hill NJ, USA"
109,John H.,Van Vleck,1899-03-13,"Middletown CT, USA",1977,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",Harvard University,"Cambridge MA, USA"
110,Arno,Penzias,1933-04-26,"Munich, Germany",1978,"""for their discovery of cosmic microwave background radiation""",Bell Laboratories,"Holmdel NJ, USA"
111,Robert Woodrow,Wilson,1936-01-10,"Houston TX, USA",1978,"""for their discovery of cosmic microwave background radiation""",Bell Laboratories,"Holmdel NJ, USA"
112,Pyotr,Kapitsa,1894-07-09,"Kronshtadt, Russian Empire (now Russia)",1978,"""for his basic inventions and discoveries in the area of low-temperature physics""",Academy of Sciences,"Moscow, USSR (now Russia)"
113,Steven,Weinberg,1933-05-03,"New York NY, USA",1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""",Harvard University,"Cambridge MA, USA"
114,Abdus,Salam,1926-01-29,"Jhang Maghi?na, India (now Pakistan)",1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""",International Centre for Theoretical Physics,"Trieste, Italy"
115,Sheldon,Glashow,1932-12-05,"New York NY, USA",1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""",Harvard University Lyman Laboratory,"Cambridge MA, USA"
116,James,Cronin,1931-09-29,"Chicago IL, USA",1980,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",University of Chicago,"Chicago IL, USA"
117,Val,Fitch,1923-03-10,"Merriman NE, USA",1980,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",Princeton University,"Princeton NJ, USA"
118,Arthur L.,Schawlow,1921-05-05,"Mount Vernon NY, USA",1981,"""for their contribution to the development of laser spectroscopy""",Stanford University,"Stanford CA, USA"
119,Nicolaas,Bloembergen,1920-03-11,"Dordrecht, the Netherlands",1981,"""for their contribution to the development of laser spectroscopy""",Harvard University,"Cambridge MA, USA"
120,Kai M.,Siegbahn,1918-04-20,"Lund, Sweden",1981,"""for his contribution to the development of high-resolution electron spectroscopy""",Uppsala University,"Uppsala, Sweden"
121,Kenneth G.,Wilson,1936-06-08,"Waltham MA, USA",1982,"""for his theory for critical phenomena in connection with phase transitions""",Cornell University,"Ithaca NY, USA"
122,Subrahmanyan,Chandrasekhar,1910-10-19,"Lahore, India (now Pakistan)",1983,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",University of Chicago,"Chicago IL, USA"
123,William A.,Fowler,1911-08-09,"Pittsburgh PA, USA",1983,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",California Institute of Technology (Caltech),"Pasadena CA, USA"
124,Simon,van der Meer,1925-11-24,"the Hague, the Netherlands",1984,"""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction""",CERN,"Geneva, Switzerland"
125,Carlo,Rubbia,1934-03-31,"Gorizia, Italy",1984,"""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction""",CERN,"Geneva, Switzerland"
126,Klaus,von Klitzing,1943-06-28,"Schroda, German-occupied Poland (now Poland)",1985,"""for the discovery of the quantized Hall effect""",Max-Planck-Institut für Festkörperforschung,"Stuttgart, Germany"
127,Ernst,Ruska,1906-12-25,"Heidelberg, Germany",1986,"""for his fundamental work in electron optics and for the design of the first electron microscope""",Fritz-Haber-Institut der Max-Planck-Gesellschaft,"Berlin, Germany"
128,Heinrich,Rohrer,1933-06-06,"Buchs, Switzerland",1986,"""for their design of the scanning tunneling microscope""",IBM Zurich Research Laboratory,"Rüschlikon, Switzerland"
129,Gerd,Binnig,1947-07-20,"Frankfurt-on-the-Main, West Germany (now Germany)",1986,"""for their design of the scanning tunneling microscope""",IBM Zurich Research Laboratory,"Rüschlikon, Switzerland"
130,K. Alex,Müller,1927-04-20,"Basel, Switzerland",1987,"""for their important break-through in the discovery of superconductivity in ceramic materials""",IBM Zurich Research Laboratory,"Rüschlikon, Switzerland"
131,J. Georg,Bednorz,1950-05-16,"Neuenkirchen, West Germany (now Germany)",1987,"""for their important break-through in the discovery of superconductivity in ceramic materials""",IBM Zurich Research Laboratory,"Rüschlikon, Switzerland"
132,Melvin,Schwartz,1932-11-02,"New York NY, USA",1988,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",Digital Pathways Inc.,"Mountain View CA, USA"
133,Leon M.,Lederman,1922-07-15,"New York NY, USA",1988,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",Fermi National Accelerator Laboratory,"Batavia IL, USA"
134,Jack,Steinberger,1921-05-25,"Bad Kissingen, Germany",1988,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",CERN,"Geneva, Switzerland"
135,Wolfgang,Paul,1913-08-10,"Lorenzkirch, Germany",1989,"""for the development of the ion trap technique""",University of Bonn,"Bonn, Germany"
136,Hans G.,Dehmelt,1922-09-09,"Görlitz, Prussia (now Germany)",1989,"""for the development of the ion trap technique""",University of Washington,"Seattle WA, USA"
137,Norman F.,Ramsey,1915-08-27,"Washington D.C., USA",1989,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",Harvard University,"Cambridge MA, USA"
138,Richard E.,Taylor,1929-11-02,"Medicine Hat Alberta, Canada",1990,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",Stanford University,"Stanford CA, USA"
139,Jerome I.,Friedman,1930-03-28,"Chicago IL, USA",1990,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",Massachusetts Institute of Technology (MIT),"Cambridge MA, USA"
140,Henry W.,Kendall,1926-12-09,"Boston MA, USA",1990,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",Massachusetts Institute of Technology (MIT),"Cambridge MA, USA"
141,Pierre-Gilles,de Gennes,1932-10-24,"Paris, France",1991,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers""",Collège de France,"Paris, France"
142,Georges,Charpak,1924-08-01,"Dabrovica, Poland",1992,"""for his invention and development of particle detectors in particular the multiwire proportional chamber""",École Supérieure de Physique et Chimie,"Paris, France"
143,Russell A.,Hulse,1950-11-28,"New York NY, USA",1993,"""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation""",Princeton University,"Princeton NJ, USA"
144,Joseph H.,Taylor Jr.,1941-03-29,"Philadelphia PA, USA",1993,"""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation""",Princeton University,"Princeton NJ, USA"
145,Clifford G.,Shull,1915-09-23,"Pittsburgh PA, USA",1994,"""for the development of the neutron diffraction technique""",Massachusetts Institute of Technology (MIT),"Cambridge MA, USA"
146,Bertram N.,Brockhouse,1918-07-15,"Lethbridge Alberta, Canada",1994,"""for the development of neutron spectroscopy""",McMaster University,"Hamilton Ontario, Canada"
147,Martin L.,Perl,1927-06-24,"New York NY, USA",1995,"""for the discovery of the tau lepton""",Stanford University,"Stanford CA, USA"
148,Frederick,Reines,1918-03-16,"Paterson NJ, USA",1995,"""for the detection of the neutrino""",University of California,"Irvine CA, USA"
149,David M.,Lee,1931-01-20,"Rye NY, USA",1996,"""for their discovery of superfluidity in helium-3""",Cornell University,"Ithaca NY, USA"
150,Robert C.,Richardson,1937-06-26,"Washington D.C., USA",1996,"""for their discovery of superfluidity in helium-3""",Cornell University,"Ithaca NY, USA"
